Horizon,Metric,Chi-square,p-value,Significant,N models,N runs
horizon_15,mae,18.028571428571425,0.002910808981707902,True,6,5
horizon_15,mape,23.85714285714286,0.00023127454328463636,True,6,5
horizon_15,nrmse,22.48571428571428,0.00042319084807642126,True,6,5
horizon_15,r2,22.48571428571428,0.00042319084807642126,True,6,5
horizon_15,rmse,22.48571428571428,0.00042319084807642126,True,6,5
